Title,Venue,Year published,Type of Paper,SE Problem,Data-Scale,SE Data,[data] Code,[data] Repo Metadata,[data] I/O Examples,Data Preprocessing,[pre] Tokenization,[pre] Neural Embedding,[pre] I/O Vectors,Learning Type,Architectures,Tuning,Learning Algorithm,Loss Function,Metrics,[metric] Coverage & Proportions,[metric] Ranking,[metric] Alignment Score,[metric] Approx Error,[metric] ROC or AUC,[metric] Accuracy,[metric] Precision,[metric] Recall,[metric] F1,Novel Automation,Exploratory Data Analysis,Occam's Razor,Missing Learning Elements,Combat Overfitting,[over] hyper-tuning,[over] custom,[over] Data Augmentation,[over] Data Balancing,[over] Cross-Validation,[over] Early Stop,[over] Data Cleaning,[over] Dropout,[over] L# Regularization,[over] Large Dataset,Replicability,Reproducible,[repro] Learning Algorithm,[repro] Loss Function,[repro] Hyperparameters,[repro] TVT Details Missing,[repro] Embedding Details,[repro] Regularization ,[repro] EDA,[repro] Extraction Details,[repro] Missing Filtering Details,[repro] No Repo
Robustfill: Neural program learning under noisy i/o,ICML,2017,Technical,Program Synthesis,Millions,I/O,non-Code,non-RepoMeta,I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,RNN,Unknown Method,Gradient Descent,Max Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Semantically Enhanced Software Traceability Using Deep Learning Techniques,ICSE,2017,Technical,Source Code Retrieval & Traceability,Thousands,Natural,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,non-F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,l-regularization,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,repro-Filter,NoRepo
Sentiment Analysis for Software Engineering: How Far Can We Go?,ICSE,2018,Journal,Developer Forum Analysis,Thousands,Repo Metadata,non-Code,Tabular,non-I/O,Tokenization,Natural Language,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Increased Understanding of the Topic,EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Suggesting Accurate Method and Class Names,FSE,2015,Technical,Code Smells,Hundreds,Code,Dual-code,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Log-Bilinear,Bayesian Opt,Gradient Descent,NCE,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,dropout,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Toward Deep Learning Software Repositories,MSR,2015,Technical,Souce Code Generation,Hundreds,Code,Dual-code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,supervised,RNN,Grid Search,Gradient Descent,Negative Log Likelihood,Distance-Based,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Towards Accurate Duplicate Bug Retrieval Using Deep Learning Techniques,ICSME,2017,Technical,Bug-Fixing Process,Thousands,Bug Report,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,RNN,non-IOVect,semi-supervised,Siamese,Unknown Method,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,Prec,Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Towards synthesizing complex programs from input-output,ICLR,2018,Technical,Program Synthesis,Thousands,I/O,non-Code,non-RepoMeta,I/O,Lookup Tables,non-Tokenization,non-NeuralEmb,I/O Vectors,reinforcement,RNN,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,custom,non-o-tuning,over-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Tree-to-tree neural networks for program translation,NIPS,2018,Journal,Program Translation,Thousands,Code,Dual-code,non-RepoMeta,non-I/O,Trees,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Grid Search,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
VulSeeker: A Semantic Learning Based Vulnerability Seeker for Cross-platform Binary,ASE,2018,Short Paper,Clone Detection,Thousands,Code,Binary,non-RepoMeta,non-I/O,IDA Pro,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,Cosine Loss,Classification,non-cover,non-rank,non-alignment,non-approx,RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,-,no-Razor,no-miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,repro-regularization,non-repro-EDA,ExDe,repro-Filter,NoRepo
?Diff: cross-version binary code similarity detection with DNN,ASE,2018,Journal,Clone Detection,Thousands,Code,Binary,non-RepoMeta,non-I/O,IDA Pro,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Siamese,Grid Search,Gradient Descent,Constrastive Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,batch-norm,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,NoRepo
Mining Fix Patterns for FindBugs Violations,TSE,2018,Journal,Program Repair,Hundreds,Dual-data,Snippets,Tabular,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,unsupervised,CNN,Custom-Manual-Empirical,Gradient Descent,Unsupervised-Loss,Ranking,non-cover,Top K,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,no-Razor,miss-learning,not-discussed,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
DeepPerf: Performance Prediction for Configurable Software with Deep Sparse Neural Network,ICSE,2019,Technical,Software Resource Control,Tens,Code,Dual-code,non-RepoMeta,non-I/O,SRCIV,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,FNN,Grid Search,Gradient Descent,N/A-Loss,Timing,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,over-dual,over-tuning,non-o-custom,non-augmentation,non-o-balancing,hold-out,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Learning to Spot and Refactor Inconsistent Method Names,ICSE,2019,Technical,Code Smells,Millions,Code,Methods,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,MAE,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Performance Over Predeccesor,EDA,-,no-miss-learning,cleaning,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,over-cleaning,non-dropout,non-regularization,over-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
On Learning Meaningful Code Changes Via Neural Machine Translation,ICSE,2019,Technical,Code Smells,Thousands,Code,Methods,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Grid Search,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,over-quintuple,over-tuning,non-o-custom,data-augmentation,non-o-balancing,hold-out,early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
NL2Type: Inferring JavaScript Function Types from Natural Language Information,ICSE,2019,Technical,Code Smells,Thousands,Code,Methods,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,supervised,RNN,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Performance Over Predeccesor,EDA,-,no-miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,early-stop,over-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
ActionNet: Vision-Based Workflow Action Recognition From Programming Screencasts,ICSE,2019,Technical,Code Extraction From Media,Thousands,Vision,non-Code,non-RepoMeta,non-I/O,Video Frame,non-Tokenization,non-NeuralEmb,non-IOVect,supervised,Siamese,No Tunning,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,EDA,-,miss-learning,large dataset,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,over-large,non-replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,NoRepo
Code completion with statistical language models,PLDI,2014,Technical,Souce Code Generation,Millions,Code,Analytics-Graphical,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,unsupervised,RNN,Custom-Manual-Empirical,N/A-Learning,N/A-Loss,Ranking,non-cover,Top K,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,Razor,miss-learning,hyper-tuning,over-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,over-large,non-replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Cross-language learning for program classification using bilateral tree-based convolutional neural networks,AAAI,2018,Short Paper,Software Categorization,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,CNN,No Tunning,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,no-Razor,miss-learning,pretraining,non-o-tuning,non-o-custom,non-augmentation,over-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Learning to mine aligned code and natural language pairs from stack overflow,MSR,2018,Technical,Source Code Summarization,Thousands,Natural,Snippets,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,unsupervised,Encoder-Decoder,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,RocOrAUC,non-Acc,Prec,Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,over-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Code Comment Generation,ICPC,2018,Technical,Source Code Summarization,Thousands,Natural,Dual-code,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,N/A-Loss,Alignment,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Performance Over Predeccesor,EDA,Razor,miss-learning,gradient-clipping,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,hold-out,non-early-stop,over-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
DeepBugs: A learning approach to name-based bug detection,OOPSLA,2018,Technical,Bug-Fixing Process,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,FNN,No Tunning,Gradient Descent,Binary Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,over-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,over-large,replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Improving bug detection via context-based code representation learning and attention-based neural networks,OOPSLA,2019,Journal,Bug-Fixing Process,Millions,Code,Dual-code,non-RepoMeta,non-I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,CNN,Custom-Manual-Empirical,N/A-Learning,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,miss-learning,over-dual,over-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
AutoPandas: neural-backed generators for program synthesis,OOPSLA,2019,Journal,Program Synthesis,Millions,I/O,non-Code,non-RepoMeta,I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,GNN,No Tunning,Gradient Descent,Cross-entropy,Coverage & Proportions,Solved Tasks,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,no-Razor,no-miss-learning,large dataset,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,over-large,non-replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
A Grammar-Based Structural CNN Decoder for Code Generation,AAAI,2019,Technical,Souce Code Generation,Tens,Natural,non-Code,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,Structure2Vec,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,Cross-entropy,Dual-metric,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,hyper-tuning,non-o-tuning,over-custom,non-augmentation,non-o-balancing,hold-out,non-early-stop,non-o-cleaning,over-dropout,over-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,ExDe,repro-Filter,non-NoRepo
Automatic Code Review by Learning the Revision of Source Code,AAAI,2019,Technical,Code Comprehension,Tens,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,Binary Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,RocOrAUC,non-Acc,non-Prec,non-Recall,F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,over-dual,non-o-tuning,over-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
Convolutional Neural Networks over Tree Structures for Programming Language Processing,AAAI,2016,Technical,Code Comprehension,Thousands,Code,Program,non-RepoMeta,non-I/O,Neural Embedding,non-Tokenization,CNN,non-IOVect,semi-supervised,CNN,Custom-Manual-Empirical,Gradient Descent,Cross-entropy,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,no-miss-learning,pretraining,over-tuning,non-o-custom,data-augmentation,non-o-balancing,hold-out,non-early-stop,non-o-cleaning,non-dropout,over-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,non-NoRepo
Deep Reinforcement Learning for Syntactic Error Repair in Student Programs,AAAI,2019,Technical,Bug-Fixing Process,Thousands,Cursor,Methods,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,reinforcement,RNN,No Tunning,N/A-Learning,N/A-Loss,Coverage & Proportions,Dual-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,miss-learning,gradient-clipping,non-o-tuning,over-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,ExDe,repro-Filter,NoRepo
DeepFix: Fixing Common C Language Errors by Deep Learning,AAAI,2017,Technical,Bug-Fixing Process,Thousands,Code,Program,non-RepoMeta,non-I/O,Tokenization,Raw Code,non-NeuralEmb,non-IOVect,reinforcement,Encoder-Decoder,Custom-Manual-Empirical,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,no-Razor,no-miss-learning,gradient-clipping,over-tuning,non-o-custom,non-augmentation,non-o-balancing,k-fold,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
DeepFuzz: Automatic Generation of Syntax Valid C Programs for Fuzz Testing,AAAI,2019,Technical,Software Testing,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Natural Language,non-NeuralEmb,non-IOVect,reinforcement,Encoder-Decoder,Custom-Manual-Empirical,N/A-Learning,N/A-Loss,Coverage & Proportions,Dual-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Increased Automation / Efficiency,no-EDA,Razor,miss-learning,over-dual,over-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,over-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,repro-loss,non-Hyper,tvt,repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,non-NoRepo
DeepSIM: Deep Learning Code Functional Similarity,FSE,2018,Technical,Clone Detection,Millions,Code,Dual-code,non-RepoMeta,non-I/O,Intermediate Repr,Raw Code,non-NeuralEmb,non-IOVect,reinforcement,FNN,Custom-Manual-Empirical,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Increased Automation / Efficiency,EDA,Razor,no-miss-learning,over-sixtupel ,over-tuning,non-o-custom,non-augmentation,over-balancing,k-fold,non-early-stop,non-o-cleaning,over-dropout,over-regularization,over-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
Learning to Represent Edits,ICLR,2019,Technical,Bug-Fixing Process,Thousands,Code,Snippets,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,unsupervised,Dual-arch,No Tunning,Gradient Descent,Negative Log Likelihood,Dual-metric,Rate-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,Acc,non-Prec,Recall,non-F1,Increased Automation / Efficiency,EDA,Razor,miss-learning,over-trial,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,hold-out,early-stop,over-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,non-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Neural Detection of Semantic Code Clones Via Tree-Based Convolution,ICPC,2019,Technical,Clone Detection,Thousands,Code,Dual-code,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,supervised,CNN,No Tunning,Gradient Descent,N/A-Loss,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,no-EDA,Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,over-balancing,hold-out,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,non-LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,non-Filter,NoRepo
A Novel Neural Source Code Representation Based on Abstract Syntax Tree,ICSE,2019,Technical,Clone Detection,Thousands,Code,Analytics-Graphical,non-RepoMeta,non-I/O,Trees,Raw Code,non-NeuralEmb,non-IOVect,supervised,RvNNs,No Tunning,Gradient Descent,Negative Log Likelihood,Classification,non-cover,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,Prec,Recall,F1,Advanced Architecture / Novelty,EDA,Razor,no-miss-learning,over-dual,non-o-tuning,non-o-custom,non-augmentation,over-balancing,hold-out,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,replicable,non-Reprod,LearningAlg,non-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,repro-Filter,non-NoRepo
A Neural Model for Generating Natural Language Summaries of Program Subroutines,ICSE,2019,Technical,Source Code Summarization,Millions,Natural,Dual-code,non-RepoMeta,non-I/O,Tokenization,Dual-token,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,No Tunning,Gradient Descent,N/A-Loss,Alignment,non-cover,non-rank,alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,EDA,Razor,miss-learning,ensemble,non-o-tuning,non-o-custom,non-augmentation,non-o-balancing,hold-out,non-early-stop,over-cleaning,non-dropout,non-regularization,over-large,replicable,non-Reprod,LearningAlg,repro-loss,Hyper,non-tvt,non-repro-embed,non-repro-regul,non-repro-EDA,non-ExDe,non-Filter,non-NoRepo
Neuro-Symboilc Program Synthesis,ICLR,2017,Technical,Program Synthesis,Tens,I/O,non-Code,non-RepoMeta,I/O,Tokenization,Abstracted-AST-CFG,non-NeuralEmb,non-IOVect,supervised,Encoder-Decoder,Custom-Manual-Empirical,Gradient Descent,N/A-Loss,Coverage & Proportions,Coverage-Based,non-rank,non-alignment,non-approx,non-RocOrAUC,non-Acc,non-Prec,non-Recall,non-F1,Advanced Architecture / Novelty,no-EDA,Razor,miss-learning,hyper-tuning,over-tuning,non-o-custom,non-augmentation,non-o-balancing,non-cross-val,non-early-stop,non-o-cleaning,non-dropout,non-regularization,non-o-large,non-replicable,non-Reprod,LearningAlg,repro-loss,non-Hyper,non-tvt,non-repro-embed,non-repro-regul,repro-EDA,non-ExDe,repro-Filter,NoRepo
